Program;Organization;Funding;Program Eligibility;Use of Funds;Area;Type of Fund;Targeted Applicants;Phone Number;Website;Zipcodes
MS Small Business Assistance Loan Program;North Central Planning and Development District;Up to $250,000;For-profit business with less than 100 full-time employees, less than $2 million net worth, less than $350,000 net annual revenues;Land, building, furniture and fixtures, equipment, inventory, working capital;Mississippi (MS);Loan;Not specified;(662) 283-2771;http://ncpdd.info/loan-division;38917, 38925, 38943, 38967, 38947, 38923, 38924, 39747, 39063, 39067, 39079, 39090, 39095, 39108, 39160, 39169, 39176, 39192
MS Minority Business Enterprise Microloan;North Central Planning and Development District;$2,000 to $35,000;Minority-owned and women-owned businesses;Fixed assets, working capital, startup costs, rental payments, interest expenses during construction, professional fees;Mississippi (MS);Loan - Microloan;Minorities, Women;(662) 283-2771;http://ncpdd.info/loan-division;38917, 38925, 38943, 38967, 38947, 38923, 38924, 39747, 39063, 39067, 39079, 39090, 39095, 39108, 39160, 39169, 39176, 39192
Revolving Loan Fund;North Central Regional Planning Commission;$20,000 to $100,000;For-profit businesses with participating financial institution;Contact provider;Kansas (KS);Loan - Revolving Loan Fund;Not specified;(785) 738-2218;https://www.ncrpc.org/services/business/businessfinancing/ncrpc/;66438, 66508, 66518, 67484, 67487, 67490, 67492, 67466, 67467, 67468, 67470, 67478, 67480, 67481, 67482, 66541, 66901, 66930, 66933, 66935, 66936, 66937, 66938, 66939, 66940, 66941, 66943, 66945, 66948, 66949, 66953, 66956, 66958, 66959, 66960, 66962, 66963, 66964, 66966, 66942, 66944, 66946, 66955, 67401, 67410, 67416, 67418, 67420, 67422, 67423, 67425, 67430, 67431, 67432, 67436, 67439, 67441, 67417, 66403, 66406, 66411, 66412, 67442, 67444, 67445, 67446, 67447, 67448, 67450, 67451, 67452, 67454, 67455, 67458, 67459, 66970, 66427, 66968, 66544, 66548
Minority Business Enterprise Loan Program;North Delta Planning and Development District, Inc.;Up to $250,000;Minority-owned and women-owned businesses;Land, building, furniture, fixtures, equipment, inventory, working capital;Mississippi (MS);Loan;Minorities, Women;(662) 561-4100;http://www.ndpdd.com/small-business-loans/;38631, 38632, 38630, 38651, 38654, 38658, 38664, 38665, 38666, 38668, 38670, 38671, 38672, 38676, 38680, 38720, 38767, 38920, 38921, 38645, 38646, 38927, 38928, 38957, 38963, 38966, 38964, 38950, 38953, 38962, 38637, 38639, 38641, 38606, 38643, 38644, 38614, 38617, 38618, 38619, 38620, 38621, 38622, 38623, 38626
Mississippi Small Business Assistance Program;North Delta Planning and Development District, Inc.;Up to $250,000;Commercial enterprise with fewer than 100 full-time employees (FTE) and less than $2 million in net worth or less than $350,000 in net annual after-tax profits during 2 of the last 3 years;Land, building, furniture, fixtures, equipment, inventory, working capital;Mississippi (MS);Loan;Not specified;(662) 561-4100;http://www.ndpdd.com/small-business-loans/;38631, 38632, 38630, 38651, 38654, 38658, 38664, 38665, 38666, 38668, 38670, 38671, 38672, 38676, 38680, 38720, 38767, 38920, 38921, 38645, 38646, 38927, 38928, 38957, 38963, 38966, 38964, 38950, 38953, 38962, 38637, 38639, 38641, 38606, 38643, 38644, 38614, 38617, 38618, 38619, 38620, 38621, 38622, 38623, 38626
Minority Business Enterprise MICRO Loan Program;North Delta Planning and Development District, Inc.;$5,000 to $35,000;Minority-owned and women-owned businesses;Fixed assets, inventory, working capital;Mississippi (MS);Loan - Microloan;Minorities, Women;(662) 561-4100;http://www.ndpdd.com/small-business-loans/;38631, 38632, 38630, 38651, 38654, 38658, 38664, 38665, 38666, 38668, 38670, 38671, 38672, 38676, 38680, 38720, 38767, 38920, 38921, 38645, 38646, 38927, 38928, 38957, 38963, 38966, 38964, 38950, 38953, 38962, 38637, 38639, 38641, 38606, 38643, 38644, 38614, 38617, 38618, 38619, 38620, 38621, 38622, 38623, 38626
Business Development Loan Fund;Northeast Tennessee Economic Development Corporation (part of First Tennessee Development District);$25,000 and up;Nonprofit corporation, partnership or sole partnership in manufacturing, distribution, and services industries;Permanent working capital, machinery, equipment;Tennessee (TN);Loan;Not specified;(423) 928-0224;http://www.netedc.org/index.php/programs/subpage1/;37743, 37745, 37731, 37809, 37810, 37811, 37818, 37765, 37857, 37869, 37873, 37601, 37604, 37615, 37616, 37617, 37618, 37620, 37640, 37641, 37642, 37643, 37645, 37650, 37656, 37657, 37658, 37659, 37660, 37663, 37664, 37665, 37680, 37681, 37614, 37683, 37686, 37687, 37688, 37690, 37691, 37692, 37694, 37711, 37682
NTRPDC Loan Program;Northern Tier Regional Planning and Development Commission Revolving Loan Fund;$25,000 to $100,000;For-profit businesses located in the 5-county service area;Land acquisition, building costs, machinery and equipment, site preparation, working capital;Pennsylvania (PA);Loan - Revolving Loan Fund;Not specified;(570) 265-1510;http://www.northerntier.org/lending.php;18801, 18810, 18812, 18816, 18817, 18818, 18821, 18822, 18823, 18824, 18825, 18826, 18828, 18829, 18830, 18831, 18832, 18833, 18834, 18837, 18840, 18842, 18814, 18844, 18845, 18846, 18847, 18848, 18850, 18851, 18853, 18854, 18843, 17724, 17731, 17758, 17765, 17768, 16901, 16912, 16914, 16917, 16920, 16921, 16925, 16926, 16928, 16929, 16930, 16932, 16933, 16911, 16935, 16936, 16938, 16940, 16942, 16946, 16947, 16950, 16939, 18413, 18419, 18421, 18441, 18446, 18430, 18465, 18470, 18614, 18615, 18616, 18619, 18623, 18625, 18626, 18629, 18630, 18632, 18636, 18657, 18628
Community Development Loan Fund;Red River Regional Council;Contact provider;For-profit businesses, nonprofit businesses, and cooperatives located in Grand Forks, Nelson, Pembina, and Walsh counties;Real estate purchase or leasing, equipment, inventory, working capital;North Dakota (ND);Loan;Not specified;(701) 352-3550;https://www.redriverrc.com/business-loan-programs/;58201, 58202, 58203, 58210, 58212, 58214, 58204, 58216, 58205, 58220, 58222, 58225, 58227, 58228, 58229, 58231, 58233, 58235, 58237, 58238, 58243, 58224, 58241, 58380, 58250, 58251, 58254, 58256, 58259, 58261, 58262, 58265, 58267, 58270, 58271, 58272, 58273, 58275, 58276, 58258, 58266, 58244, 58344, 58278, 58282, 58361
Progress Fund;Red River Regional Council;$10,000 to $100,000;For-profit businesses and cooperatives located in Grand Forks, Nelson, Pembina, and Walsh counties;Real estate purchase or leasing, equipment, inventory, working capital;North Dakota (ND);Loan - Revolving Loan Fund;Not specified;(701) 352-3550;https://www.redriverrc.com/business-loan-programs/;58201, 58202, 58203, 58210, 58212, 58214, 58204, 58216, 58205, 58220, 58222, 58225, 58227, 58228, 58229, 58231, 58233, 58235, 58237, 58238, 58243, 58224, 58241, 58380, 58250, 58251, 58254, 58256, 58259, 58261, 58262, 58265, 58267, 58270, 58271, 58272, 58273, 58275, 58276, 58258, 58266, 58244, 58344, 58278, 58282, 58361
Red River Revolving Loan Fund;Red River Regional Council;$10,000 to $100,000;For-profit businesses and cooperatives located in Grand Forks, Nelson, Pembina, and Walsh counties;Real estate purchase or leasing, equipment, inventory, working capital;North Dakota (ND);Loan - Revolving Loan Fund;Not specified;(701) 352-3550;https://www.redriverrc.com/business-loan-programs/;58201, 58202, 58203, 58210, 58212, 58214, 58204, 58216, 58205, 58220, 58222, 58225, 58227, 58228, 58229, 58231, 58233, 58235, 58237, 58238, 58243, 58224, 58241, 58380, 58250, 58251, 58254, 58256, 58259, 58261, 58262, 58265, 58267, 58270, 58271, 58272, 58273, 58275, 58276, 58258, 58266, 58244, 58344, 58278, 58282, 58361
Nelson and Pembina County Job Development Authorities Direct Loan;Red River Regional Council;$10,000 or less;For-profit businesses and cooperatives located in Nelson and Pembina counties;Contact provider;North Dakota (ND);Loan - Microloan;Not specified;(701) 352-3550;https://www.redriverrc.com/business-loan-programs/;58212, 58216, 58220, 58222, 58225, 58227, 58238, 58224, 58241, 58380, 58254, 58259, 58262, 58265, 58271, 58272, 58276, 58344, 58282, 58361
Region 10’s Business Loan Fund (BLF);Region 10 League for Economic Assistance and Planning;$5,000 to $250,000;Sole proprietorships, partnerships, corporations, limited liability companies, nonprofits, local governments, special districts;Working capital, inventory, equipment;Colorado (CO);Loan;Not specified;(970) 765-3126;https://region10.net/business-loan-fund/#eligibility;81220, 81224, 81225, 81235, 81237, 81239, 81243, 81248, 81325, 81401, 81403, 81410, 81413, 81415, 81416, 81418, 81419, 81422, 81241, 81231, 81411, 81423, 81424, 81425, 81426, 81427, 81428, 81430, 81431, 81432, 81434, 81435, 81210, 81429
Montrose County COVID-19 Relief Grant;Region 10 League for Economic Assistance and Planning;Up to $10,000;Small businesses impacted by the COVID-19 pandemic;Financial impacts from COVID-19;Colorado (CO);COVID-19 Specific Grant;Not specified;(970) 765-3126;https://region10.net/businesses-resources/access-to-capital/;81401, 81403, 81415, 81422, 81411, 81424, 81425, 81429
Revolving Loan Fund Program;River Valley Regional Commission;Contact provider;For-profit entities meeting certain size standards without internal resources (business or personal) to provide the financing;Land, buildings, equipment, machinery, furniture, fixtures, supplies, materials, working capital;Georgia (GA);Loan - Revolving Loan Fund;Not specified;(706) 256-2910;http://www.rivervalleyrc.org/index.php/econdevelopment/revolving-loan-fund;31820, 31821, 31822, 31823, 31824, 31825, 31826, 31827, 31829, 31831, 31833, 31836, 31901, 31832, 31903, 31904, 31906, 31907, 31801, 31803, 31804, 31805, 31806, 31807, 31808, 31811, 31815, 31810, 31812, 31814, 31905, 31039, 31006, 31007, 31015, 31041, 31057, 31058, 31063, 31068, 31070, 31076, 31051, 31081, 31091, 31092, 31909, 39824, 39836, 39840, 39851, 39854, 39867, 39886, 31709, 31711, 31712, 31719, 31735, 31764, 31780
Revolving Loan Fund;Roosevelt-Custer Regional Council;$5,000 to $150,000;Private developers, development groups or cities or counties taking an active role in an economic development project within the counties of North Dakota Region VIII;Acquisition of real property, construction, reconstruction, rehabilitation, site improvements, equipment, fixtures, inventory, operating capital;North Dakota (ND);Loan - Revolving Loan Fund;Not specified;(701) 483-1241;https://www.roosevelt-custer.org/business-financing.html;58601, 58620, 58621, 58622, 58625, 58626, 58627, 58630, 58623, 58649, 58653, 58632, 58636, 58639, 58640, 58642, 58643, 58645, 58646, 58647, 58641, 58650, 58652, 58651, 58654, 58655, 58656, 58757
San Luis Valley Revolving Loan Fund;San Luis Valley Development Resources Group;$10,000 to $250,000;For-profit business located in one of the 6 counties in the San Luis Valley;Land, buildings, equipment, working capital, inventory, limited leasehold improvements;Colorado (CO);Loan - Revolving Loan Fund;Not specified;(719) 589-6099;https://www.slvdrg.org/slv-revolving-loan-fund/;81101, 81120, 81123, 81124, 81125, 81130, 81131, 81132, 81133, 81136, 81140, 81141, 81143, 81138, 81126, 81129, 81144, 81146, 81230, 81149, 81151, 81152, 81154, 81155, 81148
San Luis Valley Micro Enterprise Loan Fund;San Luis Valley Development Resources Group;$2,500 to $100,000;For-profit businesses with 5 or fewer employees located in one of the 6 counties in the San Luis Valley that meet low or moderate family income criteria and do not have sales of more than $1,000,000 or personal net worth of more than $250,000;Equipment, working capital, inventory, limited leasehold improvements, refinancing debt;Colorado (CO);Loan - Microloan;Economically Disadvantaged;(719) 589-6099;https://www.slvdrg.org/slv-micro-enterprise-loan-fund/;81101, 81120, 81123, 81124, 81125, 81130, 81131, 81132, 81133, 81136, 81140, 81141, 81143, 81138, 81126, 81129, 81144, 81146, 81230, 81149, 81151, 81152, 81154, 81155, 81148
Rural Business Initiative (RBI);South Central Illinois Regional Planning & Development Commission;Up to $250,000;For-profit businesses located and operating in the counties of Clay, Effingham, Fayette, Jasper, and Marion in the State of Illinois;Fixed assets, expansions, inventory, working capital;Illinois (IL);Loan;Not specified;(618) 548-4234;http://www.scirpdc.com/newfinassistprivate.htm;62870, 62875, 62880, 62879, 62881, 62882, 62885, 62432, 62434, 62838, 62892, 62443, 62445, 62839, 62849, 62853, 62899, 62448, 62854, 62858, 62458, 62459, 62461, 62401, 62411, 62414, 62418, 62424, 62426, 62467, 62080, 62824, 62011, 62801, 62807, 62471, 62473, 62475, 62479, 62480, 62481
Title IX Revolving Loan Fund ;South Central Illinois Regional Planning & Development Commission;Up to $200,000;For-profit manufacturing and high-tech projects to be located and operating in the counties of Clay, Effingham, Fayette, Jasper or Marion in the State of Illinois;Fixed assets;Illinois (IL);Loan - Revolving Loan Fund;Not specified;(618) 548-4234;http://www.scirpdc.com/newfinassistprivate.htm;62870, 62875, 62880, 62879, 62881, 62882, 62885, 62432, 62434, 62838, 62892, 62443, 62445, 62839, 62849, 62853, 62899, 62448, 62854, 62858, 62458, 62459, 62461, 62401, 62411, 62414, 62418, 62424, 62426, 62467, 62080, 62824, 62011, 62801, 62807, 62471, 62473, 62475, 62479, 62480, 62481
Gap-Financing Loan;South Central Kansas Economic Development District;$5,000 to $300,000 ;For-profit businesses and startups that are retaining or creating jobs with two-thirds of the project financed by other private or public funding such as borrower injection, bank financing, and other local community funds;Working capital, acquisition of land and buildings, new construction, façade and building renovation, landscape and property improvements, machinery, equipment;Kansas (KS);Loan;Not specified;(316) 262-7035;https://www.sckedd.org/gap-financing-loan;67516, 67521, 67523, 67525, 67526, 67529, 67530, 67544, 67546, 67547, 67515, 67518, 67519, 67550, 67552, 67560, 67563, 67564, 67567, 67801, 67831, 67834, 67835, 67837, 67838, 67839, 67840, 67841, 67842, 67836, 67843, 67844, 67846, 67849, 67850, 67851, 67853, 67854, 67857, 67002, 67003, 67005, 67008, 67009, 67010, 67017, 67019, 67020, 67024, 67028, 67029, 67018, 67023, 67012, 67035, 67036, 67491, 67572, 67574, 67584, 67460, 67464, 67475, 67483, 67334, 66777, 66801, 66833, 66835, 66840, 66842, 66843, 66845, 66850, 66851, 66853, 66854, 66858, 66859, 66860, 66861, 66865, 66866, 66868, 66869, 66830, 66862, 66864, 66870, 66863, 67860, 67864, 67865, 67867, 67869, 67870, 67876, 67877, 67878, 67879, 67880, 67882, 67950, 67953, 67954, 67868, 67346, 67349, 67345, 67352, 67353, 67355, 67361, 67428, 67438, 67360, 67443, 67456, 67038, 67039, 67042, 67045, 67047, 67041, 67053, 67054, 67056, 67057, 67058, 67059, 67061, 67062, 67063, 67142, 67049, 67065, 67068, 67070, 67074, 67104, 67107, 67109, 67111, 67112, 67114, 67117, 67144, 67118, 67123, 67127, 67131, 67133, 67135, 67137, 67138, 67146, 67151, 67154, 67155, 67156, 67159, 67132, 67072, 67122, 67150, 67071, 67143, 67073
SCKEDD Disaster Relief Program (SDRP);South Central Kansas Economic Development District;$5,000 to $25,000;Small businesses located in the service area, COVID-19 impacted businesses, established (2+ years) for-profit business located in the SCKEDD District ;Working capital;Kansas (KS);COVID-19 Specific Loan;Not specified;(316) 262-7035;https://www.sckedd.org/covid19;67501, 67502, 67505, 67510, 67511, 67512, 67514, 67516, 67520, 67521, 67522, 67523, 67524, 67525, 67526, 67529, 67530, 67543, 67544, 67545, 67546, 67547, 67513, 67515, 67518, 67519, 67548, 67550, 67552, 67554, 67556, 67557, 67560, 67561, 67563, 67564, 67565, 67566, 67567, 67568, 67570, 67575, 67576, 67578, 67579, 67581, 67553, 67559, 67801, 67831, 67834, 67835, 67837, 67838, 67839, 67840, 67841, 67842, 67836, 67843, 67844, 67846, 67849, 67850, 67851, 67853, 67854, 67855, 67857, 67002, 67003, 67004, 67005, 67008, 67009, 67010, 67013, 67017, 67019, 67020, 67021, 67022, 67024, 67025, 67026, 67028, 67029, 67030, 67018, 67023, 67016, 67012, 67031, 67035, 67212, 67213, 67216, 67228, 67230, 67232, 67036, 67491, 67572, 67573, 67574, 67583, 67584, 67211, 67214, 67215, 67217, 67460, 67464, 67470, 67475, 67483, 67218, 67219, 67220, 67223, 67226, 67227, 67235, 67260, 67334, 66777, 66801, 66833, 66835, 66840, 66842, 66843, 66845, 66850, 66851, 66853, 66854, 66858, 66859, 66860, 66861, 66865, 66866, 66868, 66869, 66830, 66862, 66864, 66870, 66863, 67859, 67860, 67861, 67862, 67863, 67864, 67865, 67867, 67869, 67870, 67871, 67876, 67877, 67878, 67879, 67880, 67882, 67901, 67950, 67951, 67952, 67953, 67954, 67868, 67346, 67349, 67345, 67352, 67353, 67355, 67361, 67401, 67416, 67425, 67427, 67428, 67438, 67360, 67442, 67443, 67448, 67456, 67457, 67001, 67037, 67038, 67039, 67042, 67045, 67047, 67041, 67050, 67051, 67052, 67053, 67054, 67056, 67057, 67058, 67059, 67060, 67061, 67062, 67063, 67066, 67142, 67049, 67065, 67055, 67067, 67068, 67070, 67074, 67101, 67103, 67104, 67106, 67107, 67108, 67109, 67110, 67111, 67112, 67114, 67117, 67144, 67118, 67119, 67120, 67123, 67124, 67127, 67131, 67133, 67134, 67135, 67137, 67138, 67140, 67146, 67147, 67149, 67151, 67152, 67154, 67155, 67156, 67159, 67202, 67203, 67204, 67205, 67206, 67132, 67072, 67105, 67122, 67150, 67071, 67143, 67073, 67207, 67208, 67209, 67210
